contract_type;symbol;date_time;strike;last_price;bid;ask;change;% Change;colume;open_interest;implied_volatility
P;TSLA200320P00930000;2020-03-10 10:07AM EDT;930.00;280.97;222.60;237.75;0.00;-;2;0;0.00%
P;TSLA200320P00935000;2020-03-09 12:12PM EDT;935.00;297.10;291.55;293.50;0.00;-;2;0;129.83%
P;TSLA200320P00940000;2020-03-05 1:19PM EDT;940.00;212.91;322.05;336.65;0.00;-;1;0;259.64%
P;TSLA200320P00945000;2020-03-04 4:16PM EDT;945.00;261.11;237.00;251.75;0.00;-;1;0;0.00%
P;TSLA200320P00950000;2020-03-09 2:47PM EDT;950.00;331.57;327.10;341.35;0.00;-;2;0;248.24%
P;TSLA200320P00955000;2020-03-05 1:19PM EDT;955.00;227.49;310.90;313.10;0.00;-;1;0;130.59%
P;TSLA200320P00960000;2020-03-05 1:26PM EDT;960.00;231.51;252.00;266.70;0.00;-;6;0;0.00%
P;TSLA200320P00965000;2020-03-06 2:02PM EDT;965.00;276.29;316.95;325.55;0.00;-;1;0;124.78%
P;TSLA200320P00970000;2020-03-09 11:05AM EDT;970.00;340.39;261.00;276.45;0.00;-;1;0;0.00%
P;TSLA200320P00975000;2020-03-03 10:35AM EDT;975.00;234.85;285.65;288.30;0.00;-;8;0;0.00%
P;TSLA200320P00980000;2020-03-06 4:18PM EDT;980.00;286.45;332.80;340.00;0.00;-;10;0;130.54%
P;TSLA200320P00985000;2020-02-28 2:41PM EDT;985.00;216.05;336.85;344.30;0.00;-;2;0;119.39%
P;TSLA200320P00990000;2020-03-09 11:06AM EDT;990.00;360.57;281.00;295.90;0.00;-;3;0;0.00%
P;TSLA200320P00995000;2020-02-26 4:16PM EDT;995.00;219.09;286.00;300.80;0.00;-;1;0;0.00%
P;TSLA200320P01000000;2020-03-10 1:36PM EDT;1,000.00;368.00;351.20;305.60;0.00;-;3;0;0.00%
P;TSLA200320P01010000;2020-03-09 3:41PM EDT;1,010.00;392.89;362.15;368.45;0.00;-;4;0;119.19%
P;TSLA200320P01020000;2020-03-09 9:57AM EDT;1,020.00;379.78;325.95;328.90;0.00;-;6;0;0.00%
P;TSLA200320P01030000;2020-03-04 12:59PM EDT;1,030.00;302.70;321.00;335.05;0.00;-;11;0;0.00%
P;TSLA200320P01040000;2020-03-09 12:01PM EDT;1,040.00;404.90;391.70;399.05;0.00;-;2;0;127.54%
P;TSLA200320P01050000;2020-03-10 10:08AM EDT;1,050.00;400.64;340.00;355.00;0.00;-;3;0;0.00%
P;TSLA200320P01060000;2020-03-09 11:55AM EDT;1,060.00;422.00;411.55;418.95;0.00;-;3;0;128.52%
P;TSLA200320P01070000;2020-02-19 11:44AM EDT;1,070.00;197.96;420.95;428.90;0.00;-;3;0;118.65%
P;TSLA200320P01080000;2020-02-19 10:31AM EDT;1,080.00;206.45;387.40;394.00;0.00;-;1;0;0.00%
P;TSLA200320P01090000;2020-03-03 2:41PM EDT;1,090.00;352.20;469.95;483.50;0.00;-;1;0;304.82%
P;TSLA200320P01100000;2020-03-05 3:42PM EDT;1,100.00;441.75;450.75;457.60;0.00;-;1;0;173.17%
P;TSLA200320P01110000;2020-03-09 11:00AM EDT;1,110.00;463.95;461.40;420.90;0.00;-;6;0;0.00%
P;TSLA200320P01120000;2020-02-11 12:28PM EDT;1,120.00;473.92;471.45;478.10;0.00;-;6;0;117.19%
P;TSLA200320P01130000;2020-03-09 11:14AM EDT;1,130.00;471.65;432.45;440.75;0.00;-;2;0;0.00%
P;TSLA200320P01140000;2020-03-03 3:08PM EDT;1,140.00;419.90;491.35;444.30;0.00;-;2;0;0.00%
P;TSLA200320P01150000;2020-03-09 11:14AM EDT;1,150.00;520.03;501.35;507.35;0.00;-;5;0;181.64%
P;TSLA200320P01160000;2020-03-03 3:08PM EDT;1,160.00;439.65;449.00;464.20;0.00;-;1;0;0.00%
P;TSLA200320P01170000;2020-02-27 2:42PM EDT;1,170.00;538.05;521.45;529.70;0.00;-;7;0;158.45%
P;TSLA200320P01180000;2020-03-03 12:50PM EDT;1,180.00;423.80;531.40;538.00;0.00;-;2;0;114.84%
P;TSLA200320P01190000;2020-03-03 12:48PM EDT;1,190.00;443.40;541.35;548.90;0.00;-;4;0;149.12%
P;TSLA200320P01200000;2020-03-09 10:22AM EDT;1,200.00;555.84;506.25;513.30;0.00;-;1;0;0.00%
P;TSLA200320P01210000;2020-02-26 10:40AM EDT;1,210.00;419.50;559.65;567.20;0.00;-;1;0;192.36%
P;TSLA200320P01220000;2020-03-02 2:37PM EDT;1,220.00;491.85;598.50;614.25;0.00;-;12;0;341.22%
P;TSLA200320P01230000;2020-03-03 12:50PM EDT;1,230.00;473.25;609.80;624.65;0.00;-;1;0;346.70%
P;TSLA200320P01240000;2020-03-03 2:18PM EDT;1,240.00;499.60;591.15;598.15;0.00;-;14;0;208.94%
P;TSLA200320P01250000;2020-02-20 12:24PM EDT;1,250.00;493.85;629.80;644.60;0.00;-;2;0;351.83%
P;TSLA200320P01260000;2020-03-03 1:42PM EDT;1,260.00;511.75;611.30;619.40;0.00;-;11;0;168.60%
P;TSLA200320P01270000;2020-03-03 12:59PM EDT;1,270.00;501.10;645.15;664.30;0.00;-;1;0;348.46%
P;TSLA200320P01280000;2020-02-26 4:22PM EDT;1,280.00;498.80;569.00;583.90;0.00;-;2;0;0.00%
P;TSLA200320P01290000;2020-03-03 1:20PM EDT;1,290.00;523.10;669.30;684.45;0.00;-;2;0;360.80%
P;TSLA200320P01300000;2020-03-06 2:41PM EDT;1,300.00;606.00;589.00;603.85;0.00;-;1;0;0.00%
P;TSLA200320P01320000;2020-03-03 2:18PM EDT;1,320.00;667.85;671.30;677.40;0.00;-;5;0;215.75%
P;TSLA200320P01340000;2020-03-03 1:06PM EDT;1,340.00;687.65;691.75;698.00;0.00;-;2;0;159.67%
P;TSLA200320P01360000;2020-03-03 2:04PM EDT;1,360.00;600.95;738.50;754.00;0.00;-;2;0;375.23%
P;TSLA200320P01380000;2020-03-03 1:42PM EDT;1,380.00;613.35;681.55;690.00;0.00;-;1;0;0.00%
P;TSLA200320P01400000;2020-02-24 11:26AM EDT;1,400.00;552.37;689.00;703.50;0.00;-;2;0;0.00%
P;TSLA200320P01420000;2020-02-28 12:58PM EDT;1,420.00;639.55;721.35;729.95;0.00;-;1;0;0.00%
P;TSLA200320P01440000;2020-03-03 1:27PM EDT;1,440.00;787.55;745.80;755.30;0.00;-;1;0;0.00%
P;TSLA200320P01460000;2020-02-04 4:39PM EDT;1,460.00;561.40;725.85;735.20;0.00;-;-;0;0.00%
P;TSLA200320P01480000;2020-03-03 1:06PM EDT;1,480.00;707.35;785.80;795.00;0.00;-;-;0;0.00%
P;TSLA200320P01500000;2020-03-09 10:22AM EDT;1,500.00;855.50;878.00;893.75;0.00;-;1;0;403.73%
P;TSLA200320P01520000;2020-02-26 12:59PM EDT;1,520.00;867.50;810.60;823.05;0.00;-;5;0;0.00%
P;TSLA200320P01530000;2020-03-03 2:23PM EDT;1,530.00;877.50;881.70;887.95;0.00;-;-;0;179.88%
P;TSLA200320P01540000;2020-02-10 11:41AM EDT;1,540.00;740.30;915.00;934.40;0.00;-;4;0;407.25%
P;TSLA200320P01550000;2020-02-10 11:41AM EDT;1,550.00;760.80;840.60;852.55;0.00;-;1;0;0.00%
P;TSLA200320P01560000;2020-03-03 1:46PM EDT;1,560.00;791.80;910.60;917.15;0.00;-;1;0;251.12%
P;TSLA200320P01570000;2020-02-11 10:34AM EDT;1,570.00;799.70;921.30;927.70;0.00;-;-;0;260.16%
P;TSLA200320P01580000;2020-02-10 1:11AM EDT;1,580.00;844.50;885.80;893.70;0.00;-;-;0;0.00%
P;TSLA200320P01590000;2020-02-10 1:11AM EDT;1,590.00;854.40;891.85;899.90;0.00;-;-;0;0.00%
P;TSLA200320P01610000;2020-02-05 3:06PM EDT;1,610.00;885.90;915.80;924.55;0.00;-;-;0;0.00%
P;TSLA200320P01620000;2020-02-20 2:05PM EDT;1,620.00;738.25;971.30;977.95;0.00;-;-;0;270.58%
P;TSLA200320P01630000;2020-02-05 11:20AM EDT;1,630.00;869.00;933.50;939.90;0.00;-;-;0;0.00%
P;TSLA200320P01650000;2020-02-26 4:58PM EDT;1,650.00;871.15;1,001.30;1,007.75;0.00;-;-;0;272.22%
P;TSLA200320P01670000;2020-03-03 12:29PM EDT;1,670.00;909.75;1,021.35;1,027.70;0.00;-;-;0;274.29%
P;TSLA200320P01690000;2020-03-02 11:09AM EDT;1,690.00;994.20;1,041.30;1,047.95;0.00;-;1;0;280.27%
P;TSLA200320P01710000;2020-03-02 1:02AM EDT;1,710.00;1,080.00;1,061.30;1,067.95;0.00;-;-;0;282.96%
P;TSLA200320P01720000;2020-03-03 11:29AM EDT;1,720.00;943.85;1,071.30;1,077.95;0.00;-;2;0;284.28%
P;TSLA200320P01730000;2020-02-13 2:53PM EDT;1,730.00;925.45;1,108.90;1,123.95;0.00;-;-;0;447.45%
P;TSLA200320P01740000;2020-03-03 1:18PM EDT;1,740.00;972.15;1,091.30;1,098.45;0.00;-;-;0;208.20%
P;TSLA200320P01750000;2020-02-25 7:49PM EDT;1,750.00;905.85;1,101.00;1,107.95;0.00;-;-;0;288.21%
P;TSLA200320P01760000;2020-02-10 1:11AM EDT;1,760.00;1,012.15;1,139.30;1,153.80;0.00;-;-;2;452.82%
P;TSLA200320P01770000;2020-02-12 1:44PM EDT;1,770.00;987.55;1,121.00;1,128.50;0.00;-;4;0;195.31%
P;TSLA200320P01780000;2020-02-05 12:18PM EDT;1,780.00;1,004.85;1,084.85;1,090.75;0.00;-;-;1;0.00%
P;TSLA200320P01790000;2020-02-13 1:33PM EDT;1,790.00;977.85;1,141.00;1,147.30;0.00;-;-;0;284.13%
P;TSLA200320P01800000;2020-02-12 1:44PM EDT;1,800.00;1,045.15;1,151.25;1,193.65;0.00;-;4;0;399.23%
P;TSLA200320P01810000;2020-02-27 3:48PM EDT;1,810.00;1,121.95;1,161.25;1,169.25;0.00;-;2;0;238.28%
P;TSLA200320P01820000;2020-02-05 1:52PM EDT;1,820.00;1,065.65;1,121.40;1,129.90;0.00;-;-;2;0.00%
P;TSLA200320P01830000;2020-02-20 4:37PM EDT;1,830.00;1,130.50;1,181.00;1,188.30;0.00;-;3;0;302.81%
P;TSLA200320P01840000;2020-02-27 2:42PM EDT;1,840.00;1,139.85;1,218.00;1,233.40;0.00;-;-;0;462.17%
P;TSLA200320P01850000;2020-02-05 1:54PM EDT;1,850.00;1,101.10;1,155.80;1,164.15;0.00;-;-;1;0.00%
P;TSLA200320P01860000;2020-02-20 2:05PM EDT;1,860.00;1,207.45;1,238.00;1,253.40;0.00;-;2;0;465.20%
P;TSLA200320P01870000;2020-03-03 1:11PM EDT;1,870.00;1,092.80;1,221.25;1,228.30;0.00;-;1;0;208.98%
P;TSLA200320P01880000;2020-02-05 1:52PM EDT;1,880.00;1,035.45;1,184.25;1,190.75;0.00;-;6;0;0.00%
